Gujarati	ગુજરાતી
scientific	વૈજ્ઞાનિક
science	વિજ્ઞાનશુદ્ધ
according	વિજ્ઞાનાનુસાર
knowledge	વિજ્ઞાન
scientist	વિજ્ઞાનશાસ્ત્રી
scientist	વૈજ્ઞાની
scientist	વિજ્ઞાનવેત્તા
dentistry	દંતચિકિત્સા
dentist	દંતવૈદ્ય
dentist	દંતચિકિત્સક
doctor	ચિકિત્સક
doctor	વૈદ્ય
doctor	હકીમ
doctor	દાક્તર
doctor	ભિષક
medicine	ચિકિત્સા
pediatrics	બાળચિકિત્સા
veterinary medicine	પશુચિકિત્સા
veterinarian	પશુચિકિત્સક
veterinarian	પશુવૈદ્ય
cardiology	હૃદયચિકિત્સા
cardiologist	હૃદયચિકિત્સક
pediatrician	બાળચિકિત્સક
pediatrician	બાળવૈદ્ય
heartless	હૃદયશૂન્ય
heartless	હૈયાવિહોણું
cancer	કર્કરોગ
harmful	નુકસાનકારક
published	પ્રકાશિત
indivisible	અવિભાજ્ય
divisible	વિભાજ્ય
remaining	શેષ
measured	પ્રમેય
rose	ગુલાબી
I	અહં
factorization	અવયવીકરણ
circumference	પરિઘ
Sindhi	સિંધી
Marathi	મરાઠી
Maharashtra	મહારાષ્ટ્રી
Konkani	કોંકણી
rabbit	સસલો
rabbit	સસલી
frog	દેડકી
frog	દેડકો
snake	સાપણ
Haryanvi	હરિયાણવી
Haryanvi	હરિયાણી
bedroom	શયનખંડ
ઓરડો	સૂવાનો ઓરડો
forebrain	અગ્રમસ્તિષ્ક
midbrain	મધ્યમસ્તિષ્ક
brain	મસ્તિષ્ક
hindbrain	પશ્ચમસ્તિષ્ક
endbrain	અંત્યમસ્તિષ્ક
interbrain	અંતર્મસ્તિષ્ક
metencephalon	અનુમધ્યમસ્તિષ્ક
Assamese	આસામી
Ahom	આહોમ
Maithili	મૈથિલી
haor	હાઓર
Dhivehi	દિવેહી
rufiyaa	રુફિયા
fire-engine	આગબંબો
handwritten	હસ્તલિખિત
unwritten	અલિખિત
termite	ઊધઈખાધું
silver	રૂપું
time	સમય
clever	ચતર
hard water	કઠિન પાણી
soft water	નરમ પાણી
per	પ્રતિમાસ
per	પ્રતિમહિને
sultan	સરતાણ
honorarium	માનદવેતન
pay	વેતન
child	બાળગાયક
hunger strike	ભૂખહડતાળ
minimum wage	લઘુતમ વેતન
lowest	લઘુતમ
credit insurance	ધિરાણ વીમો
credit card	ધિરાણપત્ર
microcredit	સૂક્ષ્મધિરાણ
alphabetical order	કક્કાવાર
self-help	સ્વસહાય
alphabetical order	કક્કાવારી
alphabetical order	વર્ણાનુક્રમણિકા
alphabetical order	વર્ણાનુક્રમ
striking	ઠોકર
gift	લ્હાણી
election	ચૂંટણીલક્ષી
northwestern	ઉત્તરપશ્ચિમ
foe	રિપુ
foe	અરિ
by oneself	જાતે
cat	બિલાડું
cat	બિલાડો
cat	મીંદડી
cat	મીંદડું
cat	મીંદડો
foe	શત્રુ
avatar	અવતરવું
noun	સંજ્ઞા
abstract	ભાવવાચક
concrete	દ્રવ્યવાચક
proper	વ્યક્તિવાચક
common	જાતિવાચક
collective	સમૂહવાચક
for example	દા.ત.
verbal	ક્રિયાવાચક
textbook	પાઠ્યપુસ્તક
textbook	પાઠ્યગ્રંથ
tree	વૃક્ષ
tree	તરુ
dinosaur	ભીમસરટ
vanished	લુપ્ત
tattoo	છૂંદણું
tattoo	ત્રાજવું
thin	રસી
vaccination	રસીકરણ
રસી	રસી મૂકવી
life	જીવલેણ
vaccinated	રસીકૃત
immunity	રોગપ્રતિરક્ષા
protection	પ્રતિરક્ષા
puppy	કુરકુરિયું
puppy	કુરકુરિયો
puppy	કુરકુરી
puppy	ગલૂડિયું
puppy	ગલૂડિયો
puppy	ગલૂડી
allergy	વિષમોર્જા
allergy	પ્રત્યૂર્જા
gene flow	જનીનપ્રવાહ
genetic drift	જનીન વિચલન
infectious disease	ચેપી રોગ
polymer	બહુલક
monomer	એકલક
enzyme	ઉત્સેચક
nursing home	ઘરડાંઘર
old	ઘરડું
ઉંમર	મોટી ઉંમરનું
વય	મોટી વયનું
age	ઉંમર
age	વય
age	આયુષ
lifespan	આયખું
automated teller machine	સ્વચાલિત ગણક યંત્ર
uninterrupted	પરંપરા
highest	સર્વોચ્ચ
interpretation	અર્થઘટન
neutrality	તટસ્થતા
neutrality	તટસ્થપણું
fallen	ભ્રષ્ટ
firmly	જડબેસલાખ
creator	રચેતા
marketing	વિપણન
bird's-eye view	વિહંગાવલોકન
bird's-eye view	ઊડતી નજર
bird's-eye view	વિહંગદૃષ્ટિ
bird's-eye view	ખેચરદૃષ્ટિ
Monday	ચંદ્રવાર
Thursday	બૃહસ્પતિવાર
Tuesday	ભોમવાર
Sunday	આદિત્યવાર
Saturday	મંદવાર
Friday	ભૃગુવાર
Friday	જુમા
cellphone	ભ્રમણભાષ
company	આસ્થાપન
Thursday	જુમેરાત
neutrality	નિષ્પક્ષતા
neutrality	નિષ્પક્ષપણું
cloudless	નિરભ્ર
little	રજ
formic acid	પિપીલિકામ્લ
carbonic acid	અંગારકામ્લ
hydrochloric acid	આર્દ્રહરિતકામ્લ
picric acid	ઉગ્રામ્લ
hydrochloric acid	લવણામ્લ
તેજાબ	સરકાનો તેજાબ
vinegar	સરકો
લીંબુ	લીંબુનાં ફૂલ
vitamin	પ્રજીવક
taurocholic acid	ગોપિત્તામ્લ
hydrogen	આર્દ્રજનક
સુરોખાર	સુરોખારનો તેજાબ
નું	ચૂનાનું પાણી
cholic acid	પિત્તામ્લ
gastric juice	જઠરરસ
neutralization	તટસ્થીકરણ
perfumer	સરૈયો
perfumer	અત્તરિયો
perfume	અત્તરદાની
perfume	અત્તરિયું
censer	ધૂપદાની
inflammation	ઉદ્દીપન
this	ઓણ
marzipan	બદામપૂરી
tear gas	અશ્રુવાયુ
rain	અશ્રુવર્ષા
laborer	શ્રમિક
light hour	પ્રકાશકલાક
light day	પ્રકાશદિવસ
copyright	ગ્રંથસ્વામિત્વ
beak	ચાંચ
pirate	ચાંચિયો
piracy	ચાંચિયાગીરી
થાળી	સોનાંની થાળીમાં લોઢાંની મેખ
maritime boundary	જળસીમા
infamous	કુખ્યાત
airtight	હવાબંધ
carpet	જાજમ
price	ભાવવધારો
obesity	મોટાપા
obesity	સ્થૂળતા
noble	ابرار
water	پاني
boil	ابلوو
boil	اوکلوو
emerge	نکلوو
hurry	اتاول
doubt	انديشه
good	اچھوں
cinnabar	હિંગળોક
threshold	ઊંબરો
call market	હાજરબજાર
futures market	વાયદાબજાર
cash flow	રોકડપ્રવાહ
cashbox	રોકડપેટી
cashbook	રોકડમેળ
ready money	રોકડનાણું
yak	ચમરી ગાય
cow	ગાવડી
cowslaughter	ગાવકુશી
empress	સમ્રાજ્ઞી
olive	જેતૂન
olive	જિતફળ
kohlrabi	ગાંઠકોબી
turnip	સફેદ સલગમ
papaya	પપૈયું
papaya	પોપૈયું
kalpasi	દગડફૂલ
પથ્થર	પથ્થરનું ફૂલ
stone	દગડ
some	કેટલુંક
expensiveness	મોંઘવારી
common	ચલણ
financial crisis	નાણાંસંકટ
life	જન્મટીપ
footnote	પાદટીપ
you	تميں
boat	كشتي
ginger	ادرك
boat	ناؤ
kayotsarga	કાઉસ્સગ્ગ
maithuna	મેહુણ
parigraha	પરિગ્ગહ
substances	મહાવિગઇ
substances	વિગઇ
delta	મુખત્રિકોણ
half	અર્ધસૂકું
semiarid	અર્ધશુષ્ક
groundwater	ભૂગર્ભજળ
groundwater	ભૂજળ
thangka	થાંકા
abolition	અસ્પૃશ્યતાનિવારણ
untouchability	અસ્પૃશ્યતા
untouchable	અસ્પૃશ્ય
untouchable	અછૂત
upliftment	અછૂતોદ્ધાર
upliftment	અસ્પૃશ્યોદ્ધાર
upliftment	ઉદ્ધાર
untouchability	અછૂતપણું
abolition	નિવારણ
Brahmin	બામણ
Brahmin	બામણું
Brahmin	બામણી
husband	વરવહુ
husband	પતિપત્ની
husband	ધણીધણિયાણી
day	દી
priest	ગોર
wife	ગોરાણી
sparrow	ચકલું
sparrow	ચકલો
day	دھاڑو
day	ديوس
heart	ھيّوں
heart	ھردہ
afflicted	દુઃખિયારું
pain	દુઃખ
second	બપોર
second	બપોરે
threshold	ઊમરો
rinpoche	રિનપોછે
tear	પ્રેમાશ્રુ
raining	પુષ્પવૃષ્ટિ
Krishna	કૃષ્ણ
butter	માખણચોર
ornament	યદુકુળભૂષણ
jewel	યદુકુળમણિ
lord	દ્વારકેશ
lord	વ્રજેશ
phenol	દર્શવ
polyphenol	બહુદર્શવ
leaving	હિજરત
Hijra	હજરત
dungchen	રદોંગ
oolong	ઊલોંગ
black tea	કાળી ચા
debenture	ઋણપત્ર
earthquake	ભૂકંપ
ground	ધરતી
shock	આંચકો
landslide	ભૂસ્ખલન
electric charge	વિદ્યુતભાર
porosity	છિદ્રાળુતા
diamond	હીરાજડિત
diamond	હીરાજડેલું
diamond	હીરામઢેલું
gold	સોનાંજડિત
gold	સોનાંજડેલું
gold	સોનાંમઢેલું
mistake	સ્ખલન
ruby	માણેકજડિત
ruby	માણેકજડેલું
ruby	માણેકમઢેલું
star-studded	તારાજડિત
star-studded	તારાજડેલું
star-studded	તારામઢેલું
time	જન્મટાણું
time	જન્મસમય
monk	સમણ
feather	પીંછું
Tripitaka	તિપિટક
ocean	મહાસાગર
medium wave	મધ્યમ તરંગ
short wave	લઘુ તરંગ
long wave	દીર્ઘ તરંગ
receiver	અભિગ્રાહિત્ર
banana	ડીઝી
sago	સાબુદાણો
sago	સાબુચોખા
soap	સાબુ
cassava	મોગો
orange	મચુંગો
orange	સંતરું
peanut	જુગુ
guest	મગેની
plate	સાની
saucepan	સુફરિયું
kitchen	જીકોની
iron	પાસી
knife	કીસુ
rubbish	ઘસિયો
broom	ફગિયો
decay	બળક્ષય
inscribed	ઉત્કીર્ણ
strong	બળવાન
trisula	ત્રિશૂળ
ornithology	પક્ષીવિદ્યા
red	રાતું
northward	ઓતરાતું
essayist	નિબંધકાર
travel	પ્રવાસલેખક
primary education	પ્રાથમિક શિક્ષણ
primary education	પ્રાથમિક કેળવણી
education	શિક્ષણ
inspection	પરીક્ષા
cyclone	વાવાઝોડું
monarchy	રાજાશાહી
reference	ઉલ્લેખ
chogyal	છોગ્યાલ
located	સ્થિત
travel	પ્રવાસખર્ચ
bowl	બકુડી
recreation	મનોરંજન
greater galangal	કોલિંજન
nutmeg	જાયફળ
birthright	જન્મસિદ્ધ અધિકાર
authority	અધિકાર
donkey	ગધેડું
donkey	ગધેડો
donkey	ગધેડી
horizon	ક્ષિતિજ
fossil fuel	અશ્મિભૂત ઈંધણ
museum	સંગ્રહાલય
university	વિશ્વવિદ્યાલય
orphanage	અનાથાશ્રમ
postgraduate	અનુસ્નાતક
bathed	સ્નાતક
undergraduate	પૂર્વસ્નાતક
undergraduate	ઉપસ્નાતક
test	પ્રાપ્તાંક
suhur	સરગી
courtyard	આંગણ
token	સંભારણું
respect	આદર
hope	આશા
tear	અશ્રુ
leap	ઉછાળો
envelope	લિફાફો
envelope	لفافه‌ؤ
honey bee	مدھماكهي
vulture	ગીધ
shoulder	ખભો
shoulder	ખંભો
avocado	માખણફળ
that	તેણે
that	એણે
window	બારી
vegetable	શાક
mountain	પર્વત
rakshasa	રાક્ષસ
un-	અણ-
momo	મોમો
mātrika	મોહનવસ્તુ
leucoma	ફૂલું
front	કછોટો
thigh	સાથળ
pig	ડુક્કર
cheap	સોંઘું
Sun	ભાણ
church	દેવળ
chameleon	કાચંડો
consonant	ઢ
consonant	ણ
consonant	ત
consonant	થ
consonant	દ
consonant	ધ
consonant	ન
consonant	પ
consonant	બ
consonant	ભ
consonant	મ
consonant	ય
consonant	ર
consonant	લ
consonant	વ
consonant	શ
consonant	ષ
consonant	હ
initialism	પ્રથમાક્ષરી
realgar	મનશિલ
boat	મચવા
miserable	બેહાલ
diesel	ડીઝલ
how much	કેટલું
vowel	ઈ
vowel	ઉ
vowel	ઊ
vowel	ઋ
vowel	ઐ
consonant	ઓ
vowel	ઔ
vowel	અં
vowel	અઃ
consonant	ળ
Gujarati	ક્ષ
Gujarati	જ્ઞ
ten	દશ
path	રસ્તો
vocabulary	અભિધાન
dictionary	શબ્દકોશ
bay	ખાડી
where	ક્યાં
insect	કીડો
there	ત્યાં
backpack	દફતર
secularist	બિનસાંપ્રદાયિક
teacher	શિક્ષક
murder	હત્યા
consideration	મનોમંથન
barbarism	બર્બરતા
incense stick	અગરબત્તી
now	અત્યારે
wanting	વિહોણું
number	અંક
number	નંબર
now	અધુના
queen	રાણી
gender	લિંગ
boiled	ગોતું
old	પ્રાચીન
east	પ્રાચી
disappearance	લોપ
play	ક્રીડા
Ramayana	રામાયણ
smooth	ચીકણું
quick	ત્વરિત
Sylheti	સિલ્હટી
water	જળ
virtue	فضیلۃ
worship	عبادۃ
invitation	دعوۃ
fan	فنکھو
unknowable	અલખ
female	પ્રેમિકા
