hour	ঘণ্টা
detected	ধৰা পেলোৱা
detected	ধৰা পৰা
smuggler	চোৰাং বেপাৰী
merchant	বেপাৰী
trade	বেপাৰ
airport	বিমানবন্দৰ
doctor	ডাক্তৰ
doctor	চিকিৎসক
airport	এয়াৰপ’ৰ্ট
disease	বেমাৰ
pothole	ডোং
pothole	ডোঙা
Taj Mahal	তাজমহল
Tutankhamon	তুতাংসামোন
alpaca	এল্পেকা
herd	জাক
golden	জাকত জিলিকা
smoothened	মঠা
smoothened	মাঠা
ghee	ঘিঁউ
brain	মগজু
brain	মগজ
friction	ঘঁহনি
time	পৰ
cut	কাট
do	কৰ
buy	কিন
catch	ধৰ
thatching grass	উলূ
Houbaropsis bengalensis	উলূম’ৰা
eyebrow	চেলাউৰি
addict	কানিয়া
junky	কানীয়া
nape	ঘাৰ
chocolate	চক্লেট
clip	কিলিপ
lipstick	লিপিষ্টিক
nail polish	নখপালিচ
polish	পালিচ
polish	ৰহণ
sandpaper	পালিচ কাগজ
sandpaper	চিৰিচ কাগজ
crisis	হাহাকাৰ
crisis	হুৱাদুৱা
Swahili	চোৱাহিলি
garage	গেৰেজ
spud	খন্তি
television	টিভি
sandal	খৰম
steam	ভাপ
prune	ডল
cry	কান্দ
dictator	একনায়ক
cry	কন্দুৱা
bring out	উলিয়া
emerge	ওলা
draw	আঁক
face	মুহ
faced	মুৱা
dictator	একাধিপতি
translate	অনুবাদ কৰ
translate	ভাঙনি কৰ
moon	জোনবাই
skull	লাওখোলা
skull	লাউখোলা
open	খুল
turn off	বন্ধ কৰ
mayonnaise	মে’ওনিজ
ornament	গহনা
dandruff	উফি
unwritten	নিলিখা
axolotl	আচলটল
pound	খুন্দ
pound	পাউণ্ড
tank	টেংকি
zebra	জেব্ৰা
generation	চাম
return	উভত
dozy	কলামলা
dozy	কলাঘুমটীয়া
henhouse	গঁৰাল
work hard	খাট
puffed rice	আখৈ
astringent	কেঁহা
somehow	কেনেবাকৈ
croak	টুৰ টুৰ
croak	টুৰ টুৰা
chew	চোবা
come out	ওখৰ
correctly	ভালকৈ
correctly	ভালকে
diabetes	মধুমেহ
English	বিলাতী
second	দ্বিতীয়
real	খাঁটি
liver	কলিজা
suffice	কুলা
live	থাক
lap	কোলা
afternoon	আবেলি
third	তৃতীয়
third	চতুৰ্থ
number	নম্বৰ
number	নাম্বাৰ
fuck	চোদ
expensive	দামী
expensive	মহঙা
price	দাম
bargain	দাম-দৰ কৰ
price	মোল
bargain	মোলা
dip	জুবুৰিয়া
haphazard	খেলিমেলি
indiscipline	আউল
amber	জাংফাই
raspberry	জুটুলিপকা
pulp	শাহ
brown shrike	বাঘ চৰাই
brown shrike	এৰাখাতী
violin	বেহেলা
jaundice	কুহুমসাৰ
safflower oil	কুহুম তেল
safflower	কুহুমবুলীয়া
coloured	বুলীয়া
coloured	বৰণীয়া
Ahom	আহোম
cicada	জিলি
fruit fly	কুনকুনি মাখি
red coral	পোৱাল
termite	উঁই
centipede	চেলা
tick	চিকৰা
foam	ফেন
spider	মকৰা
mole cricket	কুমটি
set	লহিয়া
tarantula	বাঘ মকৰা
mite	চাহী
thimble	আঙঠা
embrace	আঁকোৱাল
embrace	আঁকোৱালি ল
hug	সাবট
strange	আচহুৱা
strange	আচাভুৱা
nectarous	অমিয়া
nectarous	অমিয়
crown flower	আকন
middle age	আদহ
middle age	মাজ বয়স
middle age	আদ-বয়স
middle-aged	আদহীয়া
different	আলগ
separately	বেলেগকৈ
dirt	মলি
dirt	ওখল
spring	উঁহ
spring	পুং
spring	পানীচকু
end	ওৰ
veil	ওৰণি
veil	ওৰোণা
obeisance	ওলগ
Ficus religiosa	আঁহত
decrepit	আথৰ
primary	আগনি
up	ওপৰ
down	তল
wart	আজিনাই
model	আৰ্হি
mirror	আৰ্চি
repeat	দোহাৰ
repeat	আওৰা
epilepsy	আঁৱৰি
epileptic	আঁৱৰীয়া
spur	আল
great	আজো
quarter	আউটি
rain	বৰষ
চৰাই	কায়ম
lemongrass	গান্ধবিৰিণা
lemongrass	গন্ধবিৰিণা
tether	পঘা
tether	এৰাল
rice	আহু
forge	আফৰ
elephant grass	ইকৰা
ignoble	ইতৰ
animal	ইতৰ প্ৰাণী
drama	নাট
drama	ভাওনা
fishing cat	মেচেকা
spelling	বানান
hilsa	ইলীহ
hilsa	ইলীহি
hilsa	ইলিছ
spike	ডিলা
axle	ডিলামাৰি
axle	ধুৰা
bar	মাৰি
bar	ডাঁৰ
channel	ডাঁৰা
fishing rod	ডাঁৰি
fishing rod	চিপ
fishing rod	ছিপ
full stop	দাৰি
row	দাঁৰ
bar	শলা
body	দেহা
die	ঢুকা
kerosene	কেৰাচিন
mustard	সৰিয়হ
mustard oil	মিঠাতেল
mustard oil	সৰিয়হ তেল
mustard oil	খাই তেল
mustard oil	পকা তেল
mustard	বেহাৰ
osprey	কুৰুৱা
dry	উখৰা
excitable	উতনুৱা
boil	উতল
shaft	ঈহ
alive	বচা
warmth	উম
incubation	উমনি
incubate	উমা
fun	ধেমালি
ornithology	পক্ষীবিজ্ঞান
decrease	টুট
pillow	গাঁৰু
pillow	বালিছ
plan	পাং
exhaust	উকল
well-built	আটিল
well-built	ওখ-পাখ
come	আহ
snore	ঘোৰঘোৰা
public	ৰাইজ
dew	নিয়ৰ
touch	ছো
touch	ছু
touch	চু
send	পঠা
sit	বহ
draft	খচৰা
root	শিয়া
root	শিহা
rootlet	শিহৰি
root	জৰী
root	ৰছী
root	ডোৰ
string	ডোল
strip	ডোৰা
cord	ডুৰি
shop	পোহাৰ
thick	ডাঠ
through	হৈ
on behalf of	-অৰ হৈ
they	এওঁলোক
forest	হাবি
courageous	ডাঠুৱা
cardboard	ডাঠ বকলা
bark	বকলা
slug	কুমজেলেকুৱা
snail	জেলুক
slug	কুমজেলুকা
uncle	মোমাই
aunt	মামী
uncle	বৰদেউতা
aunt	বৰমা
aunt	পেহী
uncle	পেহা
aunt	জেঠাই
raft	ভূৰ
raft	ভেল
pelican	ভেলা
pelican	ঢেঁৰা
uncle	জেঠা
rake	জবকা
upstream	উজনি
shoal	উজান
namghar	থান
shape	ঠান
cream	সৰ
reach	গৈ পা
stool	পিৰা
lean	আঁউজ
consume	খা
feed	খুৱা
point out	আঙুলিয়া
commit suicide	আত্মহত্যা কৰ
hidden	আবৰ
hide	লুকা
satiate	আমুৱা
start	আৰম্ভ কৰ
belch	উগাৰ মাৰ
uproot	উঘাল
uproot	উভাল
die	মৰ
green colour	সেউজ
girl	মাই
place	ভাপত দে
Dutch	ওলন্দাজ
handmill	জাঁত
gristmill	জাঁতমিল
fire tripod	জাঁতি
physician	বেজ
divine	দিব্য
stapler	ইষ্টেবুল
suit	চাজ
samosa	চিংৰা
papaya	𑜒𑜪𑜨𑜍𑜣𑜄
mouthful	গৰাহ
pill	বৰি
cat	বিৰালী
speak out	মাত মাত
God	গোসাঁই
one-horse	টমটম
your	তজু
heat	তাও
they	এওঁৰা
he	এখেত
would	হেঁতেন
well	বাৰু
taste	জুতি
taste	সোৱাদ
bone	অস্থি
bordoisila	বৰদৈচিলা
son-in-law	জঙাই
barber	নাপিত
one	আক
nine	নউ
rain	বৈৰ্হান
orange	সুমথিৰা
bite	কামোৰ
Ceylon olive	জল্পে’
such	এনাই
sold	বিক
Bohag	বৈহাগ
body	গাউ
injury	ঘাউ
village	গাঁউ
elephant	হাথী
Krishna	কিষ্ট
Krishna	কানাই
Krishna	কানু
curse	শাও
win	জিক
so that	-আকৈ
give	দে
open	মুকলি
open	মোকল
free	মোকলা
different	বিলগ
elbow	কিলাকুটি
free	বিনামূলীয়া
spider	মাক্ৰা
anything	একো
anything	আকো
feel	লাগ
efficient	পাকৈত
scarecrow	চৌ
dry	খৰাং
quick	খৰ
on the other hand	পুনু
girl	জীয়
you	তোমোলাক
drought	খৰালি
tomato	বিলেতী বাঙানা
kheer	পাহ
red cotton tree	শিমেলি
adjacent	ওচৰ-পাঁজৰ
reserve	সাঁচ
yes	অঁ
Diwali	দেৱালী
stupid	অঁকৰা
unmarried	আবিয়ৈ
younger maternal aunt	মাহী
forget	পাহৰ
morning	বিহান
morning	ভোৰ
crab	কাংকাৰা
dream	সপান
chiretta	চিৰতা
bush	জোপোহা
boyhood	বাল্য
boyhood	শৈশৱ
boyhood	ল’ৰালি
boyhood	ল’ৰালিকাল
boyhood	শৈশৱকাল
boyhood	বাল্যকাল
unknowingly	অজানিতে
crop	ফচল
crop	শস্য
crop	শইচ
delicate	আলসুৱা
life	প্ৰাণ
life	পৰাণ
respect	সন্মান
speed	বেগ
respect	মান
respect	শ্ৰদ্ধা
love	আদৰ
wrestling	মালযুঁজ
fucking	বালৰ
ripe	পৈণত
obstacle	বাধা
swimming	সাঁতোৰ
papaya	মৈধফল
duplicate	ভুৱা
tortoise	কাছু
fork	ফিঙ
fork	ফিঙা
they	তাহুন
milk	এৱা গাখীৰ
sari	শাৰী
tortoise	দুৰাকাছ
alloy	মিহল
porcupine	কেঁটেলা
chain	শিকলি
hear	শুন
ruddy sheldduck	চাকৈ-চকোৱা
very tasty	গাহাম
lick	চেলেক
evidence	প্ৰমাণ
use	প্ৰয়োগ
necessity	প্ৰয়োজন
difference	প্ৰভেদ
joy	প্ৰমোদ
panegyrist	ভাট
displeasure	বেজাৰ
knot	আখি
different	বিভগ
difference	বিভেদ
astringent	কেহা
comb	ফণি
comb	কাঁকৈ
quiet	শাঁত
quietness	শাঁতি
edge	কাষ
Holi	ফাঁকুৱা
coloured powder	ফাঁকু
pus	পূঁজ
scorpion	ভালুক-মকৰা
porcupine	কঁটলা
yak	চুঁৱৰী পহু
yak	চুঁৱৰী গাই
yak	চুঁৱৰী
chowry	চোঁৱৰ
news	বাতৰি
message	বতৰা
suffice for	আঁট
mung bean	মগু
son	বেটা
parched rice	কৰাই
coach	ডবা
panther	ঘোং
leave	এৰ
potbellied	গেৰেলা
scream	চিঞৰ
Jerusalem	যিৰূচালেম
cloth	কাপুৰ
old	প্ৰাচীন
ladder	জাখ্লা
bury	পোত
terminative	-অলৈকে
karahi	কৰাহী
neck	গল
gold	সণা
husband	ভতাৰ
nameless	নিনাও
necklace	হাৰ
nettle	চোৰাত
nettle	চোৰাত পাত
black partridge	কইৰ
swamp partridge	হঁয়কলি
defect	খুঁত
egg	ডিমা
the	-সকল
Plural suffix	-লোক
dhole	কুৱাং
rhinoceros	গেণ্ডাৰ
metal	ধাতু
snake gourd	ধুন্দুলি
cloudy	ডাৱৰীয়া
continuously	একেলেথাৰিয়ে
drop	টোপাল
fringe	চুলা
armpit	কাষলতি
illegal	অবৈধ
discard	পেলা
fifteen	পনৰ
plural	-হঁত
Himalayas	হিমালয়
frost	হিম
Gohain	গোহাঁই
God	গোসাঞি
dhoti	চুৰিয়া
dhoti	ধুতি
parting	সেওঁতা
caudal fin	ফিছা
winter melon	কোমোৰা
cold	চেঁচা
fault	জগৰ
accused	জগৰীয়া
mouse	নিংনি
conch bracelet	শাঁক
মই	মহক
arranged	ৰেহা
gun	বন্দুক
gun	হিলৈ
cannon	তোপ
deer	হৰিণা
deer	হৰিণ
deer	হৰিণাপহু
quickly	সোনকালে
in advance	আগতীয়াকৈ
gateway	পদূলিমুখ
rise	উঠ
nightjar	দিনকণা
fence	জেওৰা
pencil	গুলি
aged	বুঢ়া
pain	বিষা
point out	আঙুলিয়াই দে
aged	বুঢ়ী
flattened rice	চিৰা
puffed rice	মুৰি
puffed rice	হুৰুম
garfish	কঁকিলা
featherback	কান্ধুলি
naked	নাঙঠ
frog	ভেঁকুলী
uncovered	উদং
sleep	শো
sleep	ঘুমা
lengthen	দীঘলা
mellifluous	শুৱলা
beautiful	শুৱনি
wear	পিন্ধ
reliance	ভৰসা
pity	পুতৌ
junction	চৌক
junction	চাৰিআলি
prickly heat	ঘামচি
shark	হাঙৰ
shark	হাংগৰ
jakoi	জাকৈ
jakoi	জাখে’
jakoi	জকাই
dolphin	উলুপী
goonch catfish	গৰুৱা
goonch catfish	বাঘমাছ
beeswax	মৌসিটা
bagasse	সিটা
bagasse	শিটা
wave	ঢৌ
wave	লহৰ
wave	লহৰি
rumour	উৰাবাতৰি
believe	বিশ্বাস কৰ
travel	ফুৰ
scream	আটাহ
worship	সেৱা
tobacco	ধঁপাত
opium	আফিং
clove	লং
cardamom	ইলাচি
jaggery	গুৰ
jaggery	গুড়
cockscomb	জঁ
thirst	পিয়াহ
testicle	পেল
daughter	বেটী
fat	পেটুলা
butter	ননী
butter	লনী
attractive	লৱনী
butter	লৱনু
rub	মাখ
rub	সান
ancestral property	সাহোন
ancestral property	শাহোন
courtyard	চোতাল
yoke	সাঙোৰ
ruddy sheldduck	চকোৱা
ruddy sheldduck	চাকৈ
fasting	লঘোন
westerly wind	পছোৱা
change	সলা
change	সলনি হ
plantation	-অনি
rearrangement	সালসলনি
main post	লাইখুঁটা
post	খুঁটা
pumpkin	মিঠালাও
pumpkin	মিঠালাউ
pumpkin	ৰঙালাউ
calabash	পানীলাউ
calabash	জাতিলাউ
ethnicity	জাতি
bagasse	শিঠা
sun	সূৰুয
sun	সূৰ্য্য
cover	ঢাক
fist	মুঠি
aggregate	মুঠ
bundle	মুঠা
Brahmaputra river	ব্ৰহ্মপুত্ৰ
Brahmaputra river	লুইত
clouded leopard	গোধাফুটুকী
germ	বীজাণু
sickle	কাচি
clavicle	কাচিহাড়
day before yesterday	পৰহি
two day	চ’থাই
two day	চতহি
day before yesterday	পৰ্শুই
tomorrow	কাইলৈ
hammer	হাতুৰী
two	আঢ়ৈ
pineapple	মাটিকঁঠাল
pineapple	আনাৰস
lullaby	নিচুকনি গীত
smith	কমাৰ
fourth	চ’থা
fourth	চৌথা
noise	হুলস্থূল
noise	চিঞৰ-বাখৰ
dose	পালি
medicine	দৰৱ
tom	বোন্দা
dwarf	বোন্দোৰা
cloth	ৰিহা
small	খুদ
bun	খোঁপা
king cobra	ডাঁহী
robberfly	ডাঁহ
browneyed	ডঁহা
cat	বিৰলী
earthworm	কেঁচে
snakehead	গৰৈ
delay	পলম
saliva	লালটি
saliva	লেলাউটি
young	কুমলীয়া
immature	আপঁইতা
dancing display	পেখন
jungle cat	হাপা
jungle cat	হেপা
jungle cat	হেঁপা
scoop	ৰোক
instrument	ৰোকনী
scoop	কোৰোক
coconut shell	কোৰোকা
rake	কোৰোণা
potter	কুমাৰ
back	পোকৰ
calf	বাছৰু
yearly	বছৰি
income	আয়
one year	বছৰেক
annual	বছৰেকীয়া
wholesale	পাইকাৰী
male	পাইক
land	পাইকান
louse	অক্ণি
spark	ফিৰিঙটি
burning	দাহ
pigeon	পাৰোৱা
younger brother	নংচাই
scorpion	কেঁকোৰাবিছা
handmill	যাঁত
fire tripod	যাঁতি
