May	may
sole	padoş
spark	qığılcım
pull	dartmaq
fall in love	vurulmaq
ravine	yarğan
increase	artırmaq
blow	əsmək
send	göndərmək
sow	səpmək
still	yenə də
tear	cırmaq
athlete	idmançı
tattered	cırıq
pull down	sökmək
taxpayer	vergiçi
data	verilənlər
feeling	duyğu
drive away	qovmaq
expulsion	qovulma
lead	sürmək
stranger	gəlmə
move	geriləmək
slippery	sürüşkən
raid	dağıtmaq
fall in	dağılmaq
divide	bölmək
draw	cızmaq
appropriate	mənimsəmək
deny	danmaq
hot	qızmaq
school class	sinif
appropriate	мәнимсәмәк
appropriate	منیمسه‌مک
appropriation	mənimsəmə
digest	həzm etmək
digestion	həzm
experience	dərk etmək
single	tək
heat up	qızdırmaq
warm up	qızışmaq
although	halbuki
lick	yalamaq
fan	yelpik
sulk	darılmaq
take offence	küsmək
barefoot	ayaqyalın
project	layihə
famous	məşhur
cleanly	təmizkar
cleanliness	təmizkarlıq
colleague	iş yoldaşı
unite	birləşmək
unite	birləşdirmək
located	yerləşmək
place	yerləşdirmək
shit	sıçmaq
squeeze	sıxmaq
fit	sığmaq
unbelievable	ağlasığmaz
change	dəyişmək
gland	vəzi
wild	anqut
longnecked	anqutboğaz
weft	arğac
recently	bayaq
swamp	bataq
lambskin	bağana
birthmark	bənək
unbelievable	ağlabatmaz
glass	stəkan
memory	yaddaş
forget	yaddan çıxmaq
forget	unutmaq
go bad	xarab olmaq
erase	pozmaq
inheritance	میراث
North Macedonia	Шимали Македонија
Makedoniya	Şimali Makedoniya
Macedonia	Makedoniya
back	arxa
collusion	sözləşmə
worker	zəhmətkeş
sculptor	heykəltəraş
exterior	dışarı
bachelor	subay
bricklayer	bənna
whistle	fit çalmaq
prevail	qələbə çalmaq
sparrow	سرچه
replace	dəyişdirmək
replace	əvəz etmək
push	itələmək
measure	ölçmək
terrorist	İŞİD
pattern	ülgü
quiver	sadaq
way	sayaq
optimist	nikbin
pessimist	bədbin
egoist	xudbin
lupus	övrə
firm	ötkəm
uncountable	ötkəmlik
needle	iynə
rice	düyü
whore	qəhbə
whoredom	qəhbəlik
disapproval	qınaq
faggot	götvərən
homosexuality	homoseksuallıq
petuxu	petux
faggotry	götvərənlik
homosexual	qeyri-ənənəvi orientasiyalı
male	qaluboy
sodomite	kişibaz
sodomy	kişibazlıq
sexual minority	cinsi azlıq
concept	məfhum
pedophilia	uşaqbazlıq
acknowledgement	etiraf
bribe	rüşvət
excellent	əla
A-student	əlaçı
deceive	aldatmaq
deceive	aldanmaq
expensive	bahalı
possibility	imkan
need	imkansızlıq
impossible	qeyri-mümkün
impossible	mümkünsüz
non-governmental organization	qeyri-hökümət təşkilatı
organization	təşkilat
personality	şəxsiyyət
clean up	yığışdırmaq
headscarf	örpək
close	örtmək
cover-up	ört-basdır
bury	basdırmaq
cover up	ört-basdır etmək
bury	dəfn etmək
blanket	örtük
person	şəxs
covered	örtülü
veiled	başıörtülü
personal	şəxsi
lust	şəhvət
headscarf	yaylıq
flea	birə
continuator	davamçı
leader	öndər
doner kebab	dönər
chief	başçı
doner kebab	dönərçi
doner kebab	dönərxana
tinsmith	qalayçı
toil	zəhmət
spectacular	möhtəşəm
game	اویون
people	camaat
defeatism	məğlubiyyətçilik
traitor	satqın
Eurasian magpie	sağsağan
objection	etiraz
insult	həqarət
foreign	qürbət
protest	etiraz etmək
dear	əziz
citizen	vətəndaş
wisdom	hikmət
secret	sirr
appeal	xitab etmək
captivity	əsarət
hostility	düşmənçilik
screwdriver	burğac
prohibition	qadağan
içki	qadağa
sometimes	bəzən
livelihood	çörək pulu
announce	elan etmək
national	Şurayi-Milli
rejoice	sevinmək
gladden	sevindirmək
gratifying	sevindirici
unarmed	əliyalın
ceremony	mərasim
biography	tərcümeyi-hal
turn	dönmək
patriot	vətənpərvər
voting	səsvermə
patriot	vətənpərəst
patriotism	vətənpərvərlik
patriotism	vətənpərəstlik
hospitable	qonaqpərvər
hospitable	qonaqpərəst
hospitality	qonaqpərəstlik
hospitality	qonaqpərvərlik
last	ötən
transitive	təsirli
intransitive	təsirsiz
hurricane	qasırğa
true	həqiqi
slogan	şüar
imitate	təqlid etmək
heroism	qəhrəmanlıq
talented	istedadlı
untalented	istedadsız
hero	qəhrəman
list	sadalamaq
intellectual property	əqli mülkiyyət
gathering	iclas
Azərbaycan	Azərbaycan Xalq Cümhuriyyəti
historical	tarixi
endure	dözmək
unbearable	dözülməz
enduring	dözümlü
endurance	dözümlülük
impatience	dözümsüzlük
impatient	dözümsüz
tanış	tanış-biliş
chapter	fəsil
sick and tired	bezmək
pillow	balış
put	söykəmək
lean	söykənmək
bathe	çimizdirmək
destruction	dağıntı
explode	partlamaq
explode	partlatmaq
explosion	partlayış
dry	quru
dry	qurumaq
provide	oxutmaq
swear	and içmək
construct	qurmaq
perish	həlak olmaq
bedsheet	döşəkağı
blanket	yorğanağı
pillow case	balışüzü
bedsheet	mələfə
beaver	qunduz
distance	məsafə
support	dəstək
thigh	omba
mistress	məşuqə
together	bərabər
just	təki
useful	yaramaq
create	yaratmaq
appropriate	yaraşmaq
arise	yaranmaq
together	birgə
together	birlikdə
together	bir yerdə
grow	yetişdirmək
take place	baş vermək
salmaq	gözdən salmaq
spicy	ədviyyəli
scream	qışqırmaq
epistemology	epistemologiya
chain	zəncir
pepper	istiot
vanilla	vanil
ginger	zəncəfil
hypocrisy	riya
true	əsl
noble	əsil
injured party	zərərçəkən
damnation	lənət
vainglorious	şöhrətpərəst
far away	iraq
supporter	tərəfdar
stick	sancmaq
pistol	tapança
grenade launcher	qumbaraatan
initiative	təşəbbüs
initiator	təşəbbüskar
initiative	təşəbbüskarlıq
ora	ora-bura
neigh	kişnərti
neigh	kişnəmək
bray	anqırmaq
bray	anqırtı
assertion	iddia
universe	kainat
suffer	əziyyət çəkmək
suffer	əzab çəkmək
miss	darıxmaq
valuable	dəyərli
space	sahə
fertilizer	gübrə
fertilize	gübrələmək
vətəndaş	vətəndaş müharibəsi
vətəndaş	vətəndaş cəmiyyəti
citizenship	vətəndaşlıq
review	icmal
hungry	doymaq
urbanization	şəhərləşmə
urbanization	urbanizasiya
wet	islaq
movement	hərəkat
hurry	tələsmək
hurry	tələsdirmək
haste makes waste	tələsən təndirə düşər
hasty	tələsik
haste	tələsiklik
open-hearted	həsb-hal
center	mərkəz
opportunity	fürsət
opportunist	fürsətçi
commander	sərkərdə
centerless	mərkəzsiz
noticeable	gözəçarpan
noticeable	gözədəyən
but	fəqət
numerous	çoxsaylı
majority	çoxluq
minority	azlıq
happiness	nəma
seaman	dənizçi
navigation	dənizçilik
turns out	səndemə
centrifugal	mərkəzdənqaçma
jet black	qapqara
snow-white	ağappaq
completely	büsbütün
very	bumbuz
coarse	kobud
sour	turş
round	yumru
join	qoşulmaq
stick	yapışdırmaq
glue	yapışqan
toothpaste	diş məcunu
crudely	kobudcasına
crude	kobudca
gather	toplamaq
as it is	onsuz da
shameless	utanmaz
affix	şəkilçi
sun spider	böyə
embellished	bəzəkli
luxurious	bərbəzəkli
vivisection	diriyarma
sadistic	dirisoyan
revive	dirilmək
alphabet	əlifba
revive	diriltmək
viviparous	diridoğan
fishing rod	tilov
stick out	gərmək
cud	göyüş
burp	gəyirmək
constipation	qəbiz
compatriot	yurddaş
country	yurd
food	ərzaq
political correctness	siyasi doğruluq
of course	əlbəttə
political	siyasi
political correctness	siyasi düzgünlük
political correctness	politkorrektlik
artificial	süni
agreement	saziş
agreement	uzlaşma
vocative case	çağırış halı
trample	tapdalamaq
sum up	yekunlaşdırmaq
basil	reyhan
coriander	keşniş
parsley	cəfəri
watch	qarovul
hoe	kətmən
conjunction	bağlayıcı
brutal	qəddar
brutal	rəhmsiz
good	savab
backgammon	nərdtaxta
doubles	qoşa
sən	sən hansısa bir dərman qəbul edirsən
sən	sən hansısa bir dərman atırsan
medicine	dərman
any	hansısa
celadon	seladon
inferiority	natamamlıq
turmeric	sarıkök
I need to vomit	qusmağım gəlir
mən	mən gedib qusmalıyam
where does it hurt	haranız ağrayır
where does it hurt	haran ağrayır
obvious	bariz
hoopoe	şanapipik
decision	qərar
explanation	izah
dependence	asılılıq
split	çatlaq
agreement	müqavilə
content	razı
spend	keçirmək
conductor	keçirici
ad	ad günü
eat	məzələnmək
jurisdiction	qələmrov
compatriot	həmvətənli
compatriot	həmvətən
vətəndaş	vətəndaş nikahı
citizen	вәтәндаш
citizen	وطنداش
special	xüsusi
cheater	cığal
sleep	yuxu
sleep	uyxu
buxar	buxar gəmisi
steam	buxar
steam	buğ
rumple	əzmək
oak	palıd
nut	qoz
chip	təzək
dost	dost dar gündə tanınar
guard	keşik
sentry	keşikçi
sentry	qarovulçu
well	pürrəng
ashtray	külqabı
kül	kül başına
didactic	ibrətli
hew	yonmaq
act	ibadət
house of worship	ibadətxana
on foot	piyada
ancestor	əcdad
border	sərhəd
border guard	sərhədçi
interest	maraq
interesting	maraqlı
in spite of	baxmayaraq
in spite of	rəğmən
relatively	nisbətən
ill-famed	bədnam
seem	görünmək
perceive	qavramaq
meadow	çəmənlik
spread	yaymaq
spread	yayılmaq
industry	sənaye
mockery	rişxənd
düşmək	yola düşmək
qalmaq	yerdə qalmaq
smile	təbəssüm
smile	gülümsəmə
smiling	gülümsər
smile	qımışmaq
smile	qımışıq
İslam	İslam İnqilabı Keşikçiləri Korpusu
Turkish	türk
Azerbaijani	türki
down	aşağı
owner	yiyə
ownerless	yiyəsiz
acquire	sahib olmaq
really	doğrudan
intention	niyyət
break up	ayrılmaq
Armenian	dığa
getmək	yola getmək
getmək	əldən getmək
scuffle	dalaşmaq
zindan	çəkiclə zindan arasında
by the way	yeri gəlmişkən
by the way	sözü gəlmişkən
die	keçinmək
su	gözü su içməmək
arrest	həbs etmək
prison	qazamat
like	bəyənmək
style	səpki
part	hissə
Greek	Antioxiya
duke	knyaz
principality	knyazlıq
kingdom	krallıq
element	ünsür
darkness	xanlıq
economy	iqtisadiyyat
early	erkən
grow	becərmək
madder	boyaqotu
dye	boyaq
cotton	pambıq
baseless	əsassız
paint	boyamaq
rest	dayamaq
rest	dirəmək
set the table	süfrə açmaq
tablecloth	süfrə
talk	söz açmaq
porch	eyvan
resemble	bənzəmək
large-scale	irimiqyaslı
large-scale	genişmiqyaslı
hairdresser	dəllək
 by heart	əzbər
memorize	əzbərləmək
same	eyni
apologize	üzr istəmək
anger	əsəbləşmək
attributive	təyini
God	xuda
voiced	cingiltili
assimilation	uyuşma
forest	مئشه
simple	sadə
naive	sadəlöhv
naivety	sadəlöhvlük
maize	qarğıdalı
roman	Fyodor
Nowruz	Novruz
notification	bildiriş
responsible	cavabdeh
rosewater	gülab
God willing	inşallah
excitement	maşallah
forgery	geydirmə
make	geydirmək
remember	anmaq
anniversary	ildönümü
grave	məzar
pass away	vəfat etmək
fortification	istehkam
relative pronoun	nisbi əvəzlik
relative	nisbi
graze	güdmək
subject	məruz qoymaq
undergo	məruz qalmaq
graze	otarmaq
graveyard	məzarlıq
graveyard	qəbiristan
criminal	cinayətkar
crime	cinayət
murder	öldürmə
murder	qətl
yetirmək	qətlə yetirmək
criticism	tənqid
digital	rəqəmsal
figure	rəqəm
wise	hikmətli
draw near	yaxınlaşmaq
move away	uzaqlaşmaq
cramped	darısqal
crampedness	darısqallıq
difficult	çətin
difficulty	çətinlik
certain	əmin
sign	işarə
wine	çaxır
capital	sərmayə
capitalist	sərmayəçi
participant	iştirakçı
leftist	solçu
rightist	sağçı
centrist	mərkəzçi
centrism	mərkəzçilik
rightism	sağçılıq
rightism	solçuluq
sağlam	sağlam bədəndə sağlam ruh olar
conservative	mühafizəkar
conservatism	mühafizəkarlıq
listener	dinləyici
dipstick	izləyici
bench	skamya
handbag	sumka
skirt	yubka
tie	qalstuk
nurse	şəfqət bacısı
break	fasilə
anchor	diktor
draw	şəkil çəkmək
toothpaste	diş pastası
newspaper	ruznamə
chair	səndəl
bench	nimkət
wheel	çarx
bicycle	düçərxə
driver	ranəndə
intersection	çaharrah
university	danişgah
number	şumarə
hem	ətək
army	ərteş
soldier	sərbaz
commander	sərhəng
nurse	pərəstar
veterinarian	dampizişk
election	intixabat
gathering	cələsə
breathing	tənəffüs
breathe	nəfəs almaq
breathe	tənəffüs etmək
take a break	fasilə etmək
writer	münşi
orator	guyəndə
take a picture	əks salmaq
toothpaste	xəmir dəndan
lightning	bərq
lightning	ildırım
interrogation	istintaq
investigator	müstəntiq
soup	şorba
participation	iştirak
participate	iştirak etmək
pronunciation	tələffüz
declassed	sinifsizləşmiş
tired	yorğun
usually	adətən
worry	narahat etmək
situation	şərait
stability	sabitlik
reverse	qeyri-
other	qeyri
competence	səriştə
incompetent	səriştəsiz
succession	dalbadal
tutmaq	nəzərdə tutmaq
view	nəzər
almaq	nəzərə almaq
comb	daramaq
comb	daraq
səs	səs-küy
make up	uydurmaq
contact	əlaqə
event	hadisə
consent	razılaşmaq
friend	rəfiqə
yurt	dəyə
autonomous	muxtar
concept	anlayış
opening	açılış
force	zorlamaq
rape	zorlama
beginning	başlanğıc
noble	nəcib
time	vədə
hearthstead	ocaqlıq
tin	قالای
time	müddət
turn	dövr
rest	istirahət
pocketknife	çaqqı
cradle	dolamac
gyrfalcon	laçın
spelling	yazılış
error	səhv
manuscript	əlyazı
travel	səfər
big	uzundraz
shell	qumbara
semi	yarımsavadlı
weekly	həftəlik
rake	dırmıq
hər	hər vaxtınız xeyir olsun
xeyir	sabahınız xeyir
xeyir	axşamınız xeyir
xeyir	günortanız xeyir
xeyir	abatınız xeyir
poor	pulsuz
free of charge	ödənişsiz
interpreter	dilmanc
cholera	vəba
anthrax	qarayara
rabies	quduzluq
flu	qrip
contagious	yoluxucu
come	yoluxmaq
benefit	xeyir
slave	kölə
governorate	vilayət
hanging	asılı
moustache	bığ
Middle Ages	Orta Əsrlər
asılı	asılı olmayaraq
ghazal	qəzəl
couple	cüt
plowman	cütçü
plowman	cütçülük
parity	cütlük
gall bladder	ödlük
öd	öd kisəsi
call	çağırmaq
interrogation	dindirmə
beer parlour	pivəxana
encyclopedia	biliklik
lack	qıtlıq
sloe	göyəm
umbrella	çətir
list	siyahı
lose	uduzmaq
saymaq	yerində saymaq
way out	çarə
robbery	qarət
take offence	incimək
offend	incitmək
what number	neçənci
from	haralı
who	nəçi
cultivate	bitirmək
culture	mədəniyyət
opposition	müxalifət
become	çaşmaq
kidnap	qaçırmaq
call	çağırış
gəlmək	xoşu gəlmək
auditorium	auditoriya
genitive	qarşısında
scene	səhnə
forgetful	unutqan
changeable	dəyişkən
success	müvəffəqiyyət
cultural	mədəni
support	dəstəkləmək
envious	paxıl
stingy	simic
artıq	həddindən artıq
war reparations	təzminat
stinginess	simiclik
envy	paxıllıq
youth	gənclik
bend	əymək
suck	əmmək
decrease	azalmaq
goat	təkə
engine	mühərrik
consisting	ibarət
consist	ibarət olmaq
locked	qıfıllı
existence	mövcudluq
existence	varlıq
poison	zəhər
poisonous	zəhərli
justice	ədalət
eternity	əbədilik
birch	tozağacı
bury	dikmək
unhusked	çəltik
enemy	yağı
from	buradan
boot	çəkmə
button	düymə
necessity	zərurət
education	təhsil
reconciled	barışmaq
lane	xiyaban
thirst	susamaq
go out	sönmək
shed	saçmaq
sorrow	hüzn
grieved	hüznlü
göz	göz dəyməsin
cloth	geyim
hug	qucaqlaşmaq
hug	qucaqlamaq
draft	qaralama
blacken	qaralamaq
accurate	dəqiq
infant	körpə
orange	narıncı
turquoise	firuzəyi
pink	çəhrayı
collar	yaxa
scandal	qalmaqal
spectacles	çeşmək
spectacles	eynək
corresponding	uyğun
boil up	əsrimək
subject	fənn
refusal	rədd
supposition	zənn
line	xətt
dezoksiribonuklein turşusu	DNT
deoxyribonucleic acid	dezoksiribonuklein turşusu
unforgettable	unudulmaz
jackal	çaqqal
stye	itdirsəyi
rational number	rasional ədəd
complex number	kompleks ədəd
real number	həqiqi ədəd
angle	bucaq
right angle	düz bucaq
rectangle	düzbucaqlı
parallelogram	paraleloqram
triangle	üçbucaq
Sovet Sosialist Respublikaları İttifaqı	SSRİ
mine	mənimki
yours	səninki
his	onunku
ours	bizimki
yours	sizinki
theirs	onlarınkı
my	özümünkü
your	özününkü
our	özümüzünkü
your	özünüzünkü
their	özlərininki
Azərbaycan	Azərbaycan Respublikası
each other	bir-biri
republic	cümhuriyyət
panpsychism	panpsixizm
piece	tikə
drizzle	çiskinləmək
drizzle	çisələmək
left-hander	solaxay
dumbass	gicdıllaq
government	hökumət
pro-	hakimiyyətçi
employer	işverən
nape	ənsə
explanation	şərh
bother	sataşmaq
gearbox	sürətlər qutusu
gearbox	ötürmələr qutusu
confuse	çaşdırmaq
stress	vurğulamaq
royal	şahanə
hunt	ovlamaq
leaf through	vərəqləmək
lock	kilidləmək
play	oynatmaq
cough	öskürtmək
write	məktublaşmaq
official	rəsmi
official	rəsmiləşmək
official	rəsmiləşdirmək
beautiful	qəşəngləşmək
beautiful	gözəlləşmək
redden	qırmızılaşmaq
equal	bərabərləşmək
calm down	sakitləşmək
green	yaşıllaşmaq
heavy	ağırlaşmaq
lightweight	yüngülləşmək
beautiful	qəşəngləşdirmək
beautiful	gözəlləşdirmək
redden	qırmızılaşdırmaq
persuade	razılaşdırmaq
equalize	bərabərləşdirmək
calm down	sakitləşdirmək
green	yaşıllaşdırmaq
heavy	ağırlaşdırmaq
lightweight	yüngülləşdirmək
cover	örtünmək
executive	icraedici
execute	icra etmək
legislate	qanun vermək
effective	təsiredici
punish	cəza vermək
damage	ziyan vermək
succeed	alınmaq
mutter	deyinmək
plowed	əkin
sowing	səpin
sower	səpinçi
knot	düyün
knot	düymək
known	bilinmək
direct	yönəlmək
direct	yönəltmək
unknown	məchul
quantity	kəmiyyət
amount	miqdar
quality	keyfiyyət
sweep	süpürmək
lost	itmək
go missing	itkin düşmək
entirety	bütövlük
emptiness	boşluq
responsibility	cavabdehlik
bigness	böyüklük
equality	bərabərlik
gap	aralıq
trueness	doğruluq
reliability	etibarlılıq
injustice	ədalətsizlik
weakness	gücsüzlük
height	hündürlük
blindness	korluq
forced	məcburi
obligatoriness	məcburilik
fame	məşhurluq
holiness	müqəddəslik
hunting	ovçuluq
legislation	qanunvericilik
inequality	qeyri-bərabərlik
facultativeness	qeyri-məcburilik
impossibility	qeyri-mümkünlük
informality	qeyri-rəsmilik
finesse	qəşənglik
neighbourship	qonşuluq
formality	rəsmilik
calmness	sakitlik
embassy	səfirlik
ungenerosity	səxavətsizlik
mysteriousness	sirlilik
nonfamousness	şöhrətsizlik
dangerousness	təhlükəlilik
safeness	təhlükəsizlik
çıxmaq	çıxmaq şərtiylə
efficacy	təsirlilik
inefficacy	təsirsizlik
hopelessness	ümidsizlik
wildness	vəhşilik
lightness	yüngüllük
heaviness	ağırlıq
ambassador	səfir
prophecy	peyğəmbərlik
break	qopmaq
sail	yelkən
boat	qayıq
fraction	kəsr
waterfall	şəlalə
strike	tətil
black-eyed	qaragöz
blue-eyed	göygöz
blue-eyed	şəhlagöz
open	şəhlalanmaq
green-eyed	yaşılgöz
complaint	şikayət
travel	səyahət
travel	səyahət etmək
fold	bükmək
gift	hədiyyə
ürək	ürək-dirək
jeer	istehza
beautiful	yaraşıqlı
gift	töhfə
witness	şahid
martyr	şəhid
tray	təpsi
tear away	qoparmaq
investigate	araşdırmaq
feel	sezmək
remember	xatırlamaq
money changer	sərraf
remind	xatırlatmaq
memory	xatirə
impassable	keçilməz
escort	ötürmək
family tree	şəcərə
nationwide	ümummilli
nationwide	ümumxalq
global	ümumdünya
illegal	qanunsuz
desperate	çarəsiz
get	yetmək
quorum	yetərsay
rebellion	üsyan
rebel	üsyançı
rebelliousness	asilik
dig	eşmək
moth	güvə
wool	güzəm
loop	ilmək
Asiya	Qərbi Asiya
Western	qərbi
other	özgə
alienate	özgələşdirmək
doll	gəlincik
joy	sevinc
scary	qorxulu
scary	qorxunc
device	qurğu
eastern	şərqi
southern	cənubi
north	quzey
easy	qolay
Bakuvian	bakılı
Asiya	Orta Asiya
Abşeron	Abşeron yarımadası
get	yetişmək
flatbread	səngək
dandruff	dongra
bran	kəpək
receipt	qəbz
resignation	istefa
hazelnut	fındıq
nutcracker	fındıqqıran
chandelier	çilçıraq
chess player	şahmatçı
chandler	şamçı
oilcloth	müşəmbə
diarrhea	ishal
feces	nəcis
washing machine	paltaryuyan maşın
ruler	xətkeş
ruler	xətçəkən
trysquare	günya
scales	tərəzi
solidary	həmrəy
solidarity	həmrəylik
completely	tamamilə
balls	daşşaq
superiority	üstünlük
elite	elitar
airport	hava limanı
river	irmaq
running about	qaçaqaç
trickery	soxasox
surprised	təəccüblənmək
genitive	nəticəsində
primary	ilkin
thoughtful	qayğıkeş
hate	nifrət
reproach	qınamaq
fart	osturmaq
have	osturub ayılmaq
tövbə	osturan götə tövbə yoxdur
chair	iskəmlə
fart	osturaq
farter	gopçu
bullshit	gopa basmaq
basmaq	osturağa basmaq
farter	osturaqçı
proof	sübut
wake up	ayılmaq
certificate	arayış
execute	edam etmək
defeat	məğlubiyyət
on the contrary	əksinə
gəlmək	meydana gəlmək
defeated	məğlub
court	məhkəmə
helplessness	acizlik
wretchedness	miskinlik
monarchy	monarxiya
democracy	demokratiya
dictatorship	diktatorluq
kleptocracy	kleptokratiya
important	vacib
important	önəmli
private	özəl
treasurer	xəzinədar
treasurership	xəzinədarlıq
treasurer	xəzinəçi
treasurership	xəzinəçilik
box	sandıq
look	nigah
polygamy	çoxnikahlılıq
monogamy	təknikahlılıq
consumption	istehlak
consumer	istehlakçı
detail	təfsilat
in detail	təfsilən
detailed	təfsilatlı
detailed	təfsilli
detailed	müfəssəl
proof	dəlil
conquest	fəth
occupation	işğal
capture	zəbt
occupier	işğalçı
annexationism	işğalçılıq
conqueror	fateh
conqueror	istilaçı
aggression	istilaçılıq
arrogance	təkəbbür
arrogant	təkəbbürlü
arrogant	təkəbbürlənmək
showoff	lovğa
boastfulness	lovğalıq
boastful	lovğalaşmaq
boastfully	lovğa-lovğa
modesty	təvazö
modest	təvazölü
immodest	təvazösüz
modest	təvazökar
immodesty	təvazösüzlük
proud	qürurlu
proud	məğrur
pride	məğrurluq
proudly	məğrur-məğrur
proudly	məğruranə
beliefs	əqidə
convinced	əqidəli
consumerism	istehlakçılıq
impression	təəssürat
idleness	bekarçılıq
parasitism	tüfeylilik
impressionable	təəssüratlı
impressionless	təəssüratsız
advisor	məsləhətçi
terror	dəhşət
terrible	dəhşətli
investment	yatırım
tiger	pələng
bald	keçəllənmək
cure	sağaltmaq
get better	sağalmaq
gain weight	kökəlmək
lose weight	arıqlamaq
get on someone's nerves	qıcıqlandırmaq
tickle	qıdıqlamaq
yetitrmək	yerinə yetirmək
request	xahiş
assignment	tapşırıq
similar	bənzər
function	funksiya
assign	tapşırmaq
homework	ev tapşırığı
goal	məqsəd
expedient	məqsədəuyğun
never	heç vaxt
strawberry	چیلک
split	yarmaq
tar	qatran
lady	zənən
heathen	kahin
priesthood	kahinlik
Magian	məcusi
Zoroastrian	zərdüşti
Zoroastrianism	Zərdüştilik
magus	muğ
fire-worshipper	atəşpərəst
fire-worship	atəşpərəstlik
astrologer	münəccim
busy	məşğul
busy	məşğulluq
Zoroaster	Zərdüşt
fire	atəş
ease	asanlıq
wreath	çələng
flaming	alovlu
awarding	təltif
goodwill	lütf
award	təltif etmək
calf	buzov
chick	cücə
buffalo	xötək
buffalo	kəlçə
colt	dayça
area	meydança
challenge	meydan oxumaq
congratulate	təbrik etmək
congratulation	təbrik
learn	xəbər tutmaq
basmaq	bağrına basmaq
kitab	kitaba əl basmaq
open fire	atəş açmaq
slander	böhtan atmaq
desire	can atmaq
swing	yellənmək
currently	hazırda
prepare	hazırlamaq
prepare	hazırlaşmaq
present	hazırki
readiness	hazırlıq
blossom	çiçəkləmək
print	çap etmək
printing house	mətbəə
community	icma
printer	mətbəəçi
wudu	dəstəmaz
wudu	abdəst
crooked	əyri
ladder	nərdivan
merchant	tacir
intense	gərgin
difference	fərq
tailor	dərzi
spend	xərcləmək
expenditure	xərc
stage	mərhələ
nerve	əsəb
stop	əyləmək
fun	əyləncə
body	əyin
Jewish	ibrani
ancient	qədim
beg	dilənmək
strangle	boğmaq
yoke	boyunduruq
choke	boğulmaq
web site	sayt
strange	qəribə
social media	sosial şəbəkə
lattice	şəbəkə
disclose	ifşa etmək
custom	adət
tradition	ənənə
adət	adət-ənənə
traditional	ənənəvi
lid	qapaq
silk	ipək
insufficiency	çatışmazlıq
insufficient	çatışmaz
seem	deyəsən
conscienceless	vicdansız
complex	mürəkkəb
hookah	qəlyan
caravanserai	karvansara
differ	fərqlənmək
bald	keçəl
turn	növbə
scandalous	qalmaqallı
next	növbəti
preschedule	növbədənkənar
secularism	dünyəvilik
immortal	ölməz
immortality	ölməzlik
hat	papaq
ugly	eybəcər
run	qaçış
basin	hövzə
swimming pool	hovuz
dough	xəmir
braid	hörmək
fine	cərimə
cəm	cəm halında
hər	hər uğurlu kişinin arxasında bir qadın dayanır
successful	uğurlu
successful	müvəffəqiyyətli
discover	aşkar etmək
corpse	meyit
near	yaxınlığında
Sunni	sünni
Shi'a	şiə
throat	udlaq
interior	daxil
let	bildirmək
liberate	azad etmək
same	həmin
duty	vəzifə
high-ranking	yüksəkvəzifəli
actually	əslində
abbreviation	ixtisar
soon	tezliklə
xəmir	yoğurmaq
epidemic	epidemiya
epidemiologic	epidemioloji
epidemiology	epidemiologiya
epidemiologist	epidemioloq
quarantine	karantin
add	qatıqlamaq
threshold	astana
edge	qıraq
permission	icazə
footage	çəkiliş
a little bit	bir damcı
add	qatmaq
unnecessary	gərəksiz
inexperienced	təcrübəsiz
experienced	təcrübəli
experience	təcrübə
morgue	meyitxana
morgue	ölüxana
thermometer	istilikölçən
warmth	istilik
temperature	hərarət
wrap up	bürümək
shudder	üşütmə
illness	qada
rock	qaya
extraction	hasilat
affable	gülərüz
production	istehsal
climate	iqlim
spice	ədviyyə
attend to	əl gəzdirmək
sabah	uzaqbaşı
tear	göz yaşı
tombstone	başdaşı
high	əlçatmaz
carpet	xalça
decrease	azaltmaq
passenger	sərnişin
lazy	tənbəl
laziness	tənbəllik
style	üslub
construction	konstruksiya
pandemic	pandemiya
collection	kolleksiya
collector	kolleksiyaçı
evolution	təkamül
theory	nəzəriyyə
theoretician	nəzəriyyəçi
infection	infeksiya
convection	konveksiya
hypothesis	hipotez
hypotenuse	hipotenuz
hypothermy	hipotermiya
vascularization	vaskulyarizasiya
innervation	innervasiya
artery	arteriya
organism	orqanizm
emotion	emosiya
division	diviziya
addiction	addiksiya
alcoholism	alkoqolizm
intoxication	intoksikasiya
discrimination	diskriminasiya
authorization	avtorizasiya
Mesopotamia	Mesopotamiya
Cambodia	Kamboca
social distancing	sosial məsafələşmə
herd immunity	sürü immuniteti
grafting	peyvənd
distant	ucqar
vaccine	vaksin
soot	qurum
giant	nəhəng
farrier	nalbənd
farriery	nalbəndlik
profession	peşə
muteness	lallıq
insect	həşərat
responsibility	məsuliyyət
vertebra	fəqərə
calendar	təqvim
Libya	Liviya
hemisphere	yarımkürə
progress	tərəqqi
press	mətbuat
jug	aftafa
leap	sıçrayış
long ago	çoxdan
jump up	sıçramaq
slope	yamac
weight	vəzn
Englishman	ingilis
jurist	hüquqşünas
jurisprudence	hüquqşünaslıq
Turkologist	türkşünas
orientalist	şərqşünas
linguistics	dilçilik
Turkology	türkşünaslıq
influential	nüfuzlu
Oriental studies	şərqşünaslıq
brigand	qaçaq
simply	sadəcə
victorious	qalib
win	qalib gəlmək
loyal	sadiq
loyalty	sadiqlik
rich	zəngin
peace	sülh
Kumyk	qumuq
heavy	səngin
prince	şahzadə
bud	tumurcuq
check	yoxlamaq
hard	sərt
dad	dədə
piglet	çoşqa
child	çocuq
wart	ziyil
