Monday	ორშაბათი
neophyte	ნეოფიტი
nepotism	ნეპოტიზმი
Neptune	ნეპტუნი
nerve	ნერვი
jitters	ნერვიულობა
jumpiness	ნერვულობა
sting	ნესტარი
nostril	ნესტო
Nestor	ნესტორი
bridegroom	ნეფე
nephritis	ნეფრიტი
dung	ნეხვი
torrent	ნიაღვარი
celery	ნიახური
withers	ნიდაო
Netherlands	ნიდერლანდები
Netherlander	ნიდერლანდელი
matter	ნივთიერება
Nicole	ნიკოლი
nicotine	ნიკოტინი
pattern	ნიმუში
nymph	ნიმფა
garlic	ნიორი
nirvana	ნირვანა
temper	ნირი
nebula	ნისლოვანება
nitrate	ნიტრატი
arum	ნიუკა
mask	ნიღაბი
rower	ნიჩბოსანი
rowing	ნიჩბოსნობა
talent	ნიჭი
cleverness	ნიჭიერება
nihilism	ნიჰილიზმი
nihilist	ნიჰილისტი
Nobel	ნობელი
Noah	ნოე
innovator	ნოვატორი
nomenclature	ნომენკლატურა
nomination	ნომინაცია
Nora	ნორა
normalization	ნორმალიზაცია
normalcy	ნორმალურობა
Norman	ნორმანი
homesickness	ნოსტალგია
notary	ნოტარიუსი
notation	ნოტაცია
nocturne	ნოქტიურნი
rug	ნოხი
nougat	ნუგა
fawn	ნუკრი
numismatics	ნუმიზმატიკა
bill	ნუსხა
coypu	ნუტრია
almond	ნუში
oases	ოაზისი
obelisk	ობელისკი
overtone	ობერტონი
objectivity	ობიექტურობა
bond	ობლიგაცია
observatory	ობსერვატორია
block	ობსტრუქცია
eau de Cologne	ოდეკოლონი
Odessa	ოდესა
odyssey	ოდისეა
oval	ოვალი
ovation	ოვაცია
quad	ოთხკუთხედი
Oedipus	ოიდიპოსი
Oklahoma	ოკლაჰომა
oculist	ოკულისტი
oleander	ოლეანდრი
Ollie	ოლი
oligarch	ოლიგარქი
oligarchies	ოლიგარქია
Oliver	ოლივერი
Olympiad	ოლიმპიადა
district	ოლქი
ombudsman	ომბუდსმენი
omega	ომეგა
omelet	ომლეტი
omnibus	ომნიბუსი
homonym	ომონიმი
faucet	ონკანი
ontology	ონტოლოგია
opal	ოპალი
opera	ოპერა
operation	ოპერაცია
operetta	ოპერეტა
opium	ოპიუმი
opponent	ოპონენტი
opportunism	ოპორტუნიზმი
moderate	ოპორტუნისტი
optics	ოპტიკა
optician	ოპტიკოსი
optimism	ოპტიმიზმი
optimist	ოპტიმისტი
opus	ოპუსი
ambiguity	ორაზროვნება
equivocation	ორაზროვნობა
oracle	ორაკული
hothouse	ორანჟერეა
mouthpiece	ორატორი
oratorio	ორატორია
orbit	ორბიტა
organizer	ორგანიზატორი
organization	ორგანიზაცია
organism	ორგანიზმი
organist	ორგანისტი
orgy	ორგია
unfaithfulness	ორგულობა
orthography	ორთოგრაფია
orthopaedics	ორთოპედია
steam	ორთქლი
originality	ორიგინალობა
orientalist	ორიენტალისტი
orientation	ორიენტაცია
datum	ორიენტირი
bandsman	ორკესტრანტი
band	ორკესტრი
pit	ორმო
ornament	ორნამენტი
duplicity	ორპირობა
dioxide	ორჟანგი
orchid	ორქიდეა
dog-biscuit	ორცხობილა
colon	ორწერტილი
dubieties	ორჭოფობა
Oswald	ოსვალდი
Oscar	ოსკარი
craftsmanship	ოსტატობა
ostracism	ოსტრაკიზმი
oscillograph	ოსცილოგრაფი
ottoman	ოტომანი
office	ოფისი
officer	ოფიცერი
waiter	ოფიციანტი
offset	ოფსეტი
balsa	ოქრომა
octave	ოქტავა
octet	ოქტეტი
parsley	ოხრახუში
pagoda	პაგოდა
Padua	პადუა
pavilion	პავილიონი
pathology	პათოლოგია
pathos	პათოსი
pack-saddle	პალანი
stole	პალანტინი
chamber	პალატა
paleontologist	პალეონტოლოგი
Palermo	პალერმო
Palestine	პალესტინა
Palestinian	პალესტინელი
palimpsest	პალიმფსესტი
palette	პალიტრა
peg	პალო
overcoat	პალტო
Pamela	პამელა
pamphlet	პამფლეტი
Panama hat	პანამა
whitlow	პანარიციუმი
dirge	პანაშვიდი
panacea	პანაცეა
panda	პანდა
work	ვმუშაობ
going	მივდივარ
pandemic	პანდემია
panegyric	პანეგირიკი
panel	პანელი
pantheism	პანთეიზმი
pantheist	პანთეისტი
pantheon	პანთეონი
panic	პანიკა
alarmist	პანიკიორი
panorama	პანორამა
boarding house	პანსიონი
panther	პანტერა
pantograph	პანტოგრაფი
mummery	პანტომიმა
grandad	პაპა
weather	პაპანაქება
papier-mâché	პაპიემაშე
popery	პაპიზმი
papyrus	პაპირუსი
papist	პაპისტი
papacy	პაპობა
page	პაჟი
parabola	პარაბოლა
paradigm	პარადიგმა
paradox	პარადოქსი
bloodsucker	პარაზიტი
parallel	პარალელი
parallelism	პარალელიზმი
parameter	პარამეტრი
paranoia	პარანოია
paranoiac	პარანოიკი
balustrade	პარაპეტი
paratyphoid	პარატიფი
paraffin	პარაფინი
parachute	პარაშუტი
parachutist	პარაშუტისტი
periwig	პარიკი
barber	პარიკმახერი
parquet	პარკეტი
ventricle	პარკუჭი
parliamentarian	პარლამენტარი
parliament	პარლამენტი
Parmesan	პარმეზანი
burlesque	პაროდია
parodist	პაროდისტი
countersign	პაროლი
paroxysm	პაროქსიზმი
parterre	პარტერი
guerilla	პარტიზანი
associate	პარტნიორი
partnership	პარტნიორობა
perfumer	პარფიუმერი
arcades	პასაჟი
trade-wind	პასატი
passiveness	პასიურობა
passion-flower	პასიფლორა
lampoon	პასკვილი
mat	პასპარტუ
passport	პასპორტი
crayon	პასტელი
pasteurization	პასტერიზაცია
bucolics	პასტორალი
pastor	პასტორი
esteem	პატივისცემა
prisoner	პატიმარი
arrest	პატიმრობა
bona fides	პატიოსნება
patriarchy	პატრიარქატი
patriarch	პატრიარქი
patriarchate	პატრიარქობა
Patrick	პატრიკი
patriot	პატრიოტი
patriotism	პატრიოტიზმი
Patricia	პატრიცია
owner	პატრონი
bandoleer	პატრონტაში
patrol	პატრული
candlewick	პატრუქი
caesura	პაუზა
Paul	პაული
pact	პაქტი
pasty	პაშტეტი
patchouli	პაჩული
patient	პაციენტი
pacifism	პაციფიზმი
pacifist	პაციფისტი
pedagogue	პედაგოგი
pedagogy	პედაგოგიკა
pedal	პედალი
bluestocking	პედანტი
hairsplitting	პედანტიზმი
pedantry	პედანტურობა
pediatrician	პედიატრი
pediatrics	პედიატრია
landscape	პეიზაჟი
holystone	პემზა
Penelope	პენელოპე
penny	პენი
penicillin	პენიცილინი
pence	პენსი
benefit	პენსია
pensioner	პენსიონერი
pince-nez	პენსნე
shirt	პერანგი
parchment	პერგამენტი
foam	პერი
perimeter	პერიმეტრი
period	პერიოდი
periscope	პერისკოპი
peritonitis	პერიტონიტი
periphery	პერიფერია
periphrasis	პერიფრაზა
permanganate	პერმანგანატი
perm	პერმანენტი
persona	პერსონა
personnel	პერსონალი
perspective	პერსპექტივა
Perugia	პერუჯი
pessimism	პესიმიზმი
peso	პესო
pesticide	პესტიციდი
petard	პეტარდა
Peterborough	პეტერბურგი
petition	პეტიცია
petrology	პეტროლოგია
petunia	პეტუნია
pectin	პექტინი
polish	პეწი
pianist	პიანისტი
piastre	პიასტრი
pygmy	პიგმეი
pigmentation	პიგმენტაცია
pigment	პიგმენტი
pierrot	პიერო
Pisa	პიზა
poignancy	პიკანტურობა
picket	პიკეტი
peak	პიკი
outing	პიკნიკი
piccolo	პიკოლო
pilaster	პილასტრი
pilgrim	პილიგრიმი
pilgrimage	პილიგრიმობა
pylon	პილონი
pilot	პილოტი
pepper	პილპილი
penguin	პინგვინი
pioneer	პიონერი
pipette	პიპეტი
pajamas	პიჟამო
Teddy boy	პიჟონი
directness	პირდაპირობა
championship	პირველობა
pyrites	პირიტი
obsequiousness	პირმოთნეობა
offspring	პირმშო
going	მივდიოდი
pyrotechnics	პიროტექნიკა
guncotton	პიროქსილინი
washbasin	პირსაბანი
towel	პირსახოცი
pirouette	პირუეტი
bestiality	პირუტყვობა
adulation	პირფერობა
crosswind	პირქარი
dreariness	პირქუშობა
pistol	პისტოლეტი
Peter	პიტერი
Pete	პიტი
mint	პიტნა
purée	პიურე
pizza	პიცა
coat	პიჯაკი
plasm	პლაზმა
broadsheet	პლაკატი
glider	პლანერი
planet	პლანეტა
planetarium	პლანეტარიუმი
planter	პლანტატორი
plantation	პლანტაცია
planchette	პლანშეტი
plastic	პლასტიკურობა
plasticine	პლასტილინი
plastic	პლასტმასა
platinum	პლატინა
went	წავედი
plateau	პლატო
platform	პლატფორმა
springboard	პლაცდარმი
placenta	პლაცენტა
pleb	პლებეი
plebiscite	პლებისციტი
plaid	პლედი
pleurisy	პლევრიტი
pleonasm	პლეონაზმი
baseboard	პლინთუსი
stamp	პლომბი
pluralism	პლურალიზმი
plus	პლუსი
plutocrat	პლუტოკრატი
plutonium	პლუტონიუმი
plush	პლუში
pneumonia	პნევმონია
catwalk	პოდიუმი
poem	პოემა
poet	პოეტი
pose	პოზა
poseur	პოზიორი
positive	პოზიტივი
positivism	პოზიტივიზმი
positivist	პოზიტივისტი
position	პოზიცია
pointer	პოინტერი
poker	პოკერი
Polaroid	პოლაროიდი
polarity	პოლარულობა
polemic	პოლემიკა
controversialist	პოლემისტი
polygamy	პოლიგამია
polyglot	პოლიგლოტი
shooting-range	პოლიგონი
polytheism	პოლითეიზმი
polyp	პოლიპი
burton	პოლისპასტი
policy	პოლიტიკა
politician	პოლიტიკოსი
polyphony	პოლიფონია
bobby	პოლიციელი
polka	პოლკა
colonel	პოლკოვნიკი
polo	პოლო
polonaise	პოლონეზი
pole	პოლუსი
lipstick	პომადა
tomato	პომიდორი
pomp	პომპა
pomposity	პომპეზურობა
pompon	პომპონი
bidet	პონი
pontoon	პონტონი
poncho	პონჩო
popularity	პოპულარობა
populist	პოპულისტი
motley	პოპური
go	წავალ
gantry	პორტალი
porter	პორტერი
waterfront	პორტი
drape	პორტიერი
holdall	პორტპლედი
portrait	პორტრეტი
portraitist	პორტრეტისტი
cigarette case	პორტსიგარი
briefcase	პორტფელი
porphyry	პორფირი
postulate	პოსტულატი
potash	პოტაში
potential	პოტენცია
potentiality	პოტენციურობა
pragmatism	პრაგმატიზმი
pragmatist	პრაგმატისტი
leek	პრასი
practice	პრაქტიკა
practician	პრაქტიკოსი
preamble	პრეამბულა
president	პრეზიდენტი
praesidium	პრეზიდიუმი
pricelist	პრეისკურანტი
prehistory	პრეისტორია
prelate	პრელატი
prelude	პრელუდია
premi`ere	პრემიერა
prairie	პრერია
prerogative	პრეროგატივა
presbyter	პრესვიტერი
paperweight	პრესპაპიე
prestige	პრესტიჟი
aspirant	პრეტენდენტი
pretension	პრეტენზია
go	წავიდეს
praetor	პრეტორი
preferans	პრეფერანსი
prefect	პრეფექტი
prefecture	პრეფექტურა
franchise	პრივილეგია
prize	პრიზი
prism	პრიზმა
prima donna	პრიმადონა
primitive	პრიმიტივისტი
primitiveness	პრიმიტიულობა
primus	პრიმუსი
printer	პრინტერი
principle	პრინციპი
antecedence	პრიორიტეტი
problem	პრობლემა
prognosis	პროგნოზი
progress	პროგრესი
progressiveness	პროგრესულობა
product	პროდუქტი
output	პროდუქცია
project	პროექტი
provisions	პროვიზია
hick	პროვინციალი
agent provocateur	პროვოკატორი
prose	პროზა
prosiness	პროზაულობა
proselyte	პროზელიტი
prosecutor	პროზექტორი
proconsul	პროკონსული
procurator	პროკურორი
proletarian	პროლეტარი
proletariat	პროლეტარიატი
prologue	პროლოგი
propaganda	პროპაგანდა
proportion	პროპორცია
schemer	პროჟექტორი
prosody	პროსოდია
avenue	პროსპექტი
prostitution	პროსტიტუცია
prostration	პროსტრაცია
protein	პროტეინი
protégé	პროტეჟე
objection	პროტესტი
protectorate	პროტექტორატი
protector	პროტექტორი
protozoa	პროტოზოა
protocol	პროტოკოლი
proton	პროტონი
archetype	პროტოტიპი
profanation	პროფანაცია
profession	პროფესია
pro	პროფესიონალი
professor	პროფესორი
professorship	პროფესურა
prophylaxis	პროფილაქტიკა
profile	პროფილი
trades-union	პროფკავშირი
percent	პროცენტი
process	პროცესი
procession	პროცესია
processor	პროცესორი
public	პუბლიკა
publication	პუბლიკაცია
publicist	პუბლიცისტი
poodle	პუდელი
pudding	პუდინგი
pullover	პულოვერი
pulsation	პულსაცია
pulse	პულსი
article	პუნქტი
punctuality	პუნქტუალობა
punch	პუნში
puritanism	პურიტანიზმი
putsch	პუტჩი
jabot	ჟაბო
jacket	ჟაკეტი
louvres	ჟალუზი
oxygen	ჟანგბადი
ochre	ჟანგმიწა
gendarmerie	ჟანდარმერია
gendarme	ჟანდარმი
argot	ჟარგონი
jasmine	ჟასმინი
gelatin	ჟელატინი
jelly	ჟელე
gesture	ჟესტი
gesticulation	ჟესტიკულაცია
vest	ჟილეტი
ardour	ჟინი
jockey	ჟოკეი
raspberry	ჟოლო
legerdemain	ჟონგლიორობა
chickweed	ჟუნჟრუკი
daybook	ჟურნალი
journalist	ჟურნალისტი
sonority	ჟღერადობა
rabbi	რაბინი
ragout	რაგუ
radiator	რადიატორი
radiation	რადიაცია
radical	რადიკალი
radicalism	რადიკალიზმი
radio	რადიო
radiogram	რადიოგრამა
radiologist	რადიოლოგი
radiology	რადიოლოგია
radio-location	რადიოლოკაცია
radium	რადიუმი
radius	რადიუსი
heck	რაზა
brigade	რაზმი
Raymond	რაიმონდი
footlights	რამპა
rennet	რანეტი
rand	რანტი
ranch	რანჩო
racialism	რასიზმი
racialist	რასისტი
ratification	რატიფიკაცია
round	რაუნდი
cabinet	რაფა
rhapsody	რაფსოდია
rickets	რაქიტი
rationalism	რაციონალიზმი
rationalist	რაციონალისტი
rajah	რაჯა
raj	რაჯი
race	რბოლა
link	რგოლი
re	რე
rehabilitation	რეაბილიტაცია
realization	რეალიზაცია
realism	რეალიზმი
realist	რეალისტი
actuality	რეალობა
tangibility	რეალურობა
reagent	რეაქტივი
reactor	რეაქტორი
reaction	რეაქცია
bourbon	რეაქციონერი
Rebecca	რებეკა
rebus	რებუსი
regatta	რეგატა
regency	რეგენტობა
region	რეგიონი
registry	რეგისტრატურა
registration	რეგისტრაცია
regression	რეგრესი
register	რეესტრი
rhubarb	რევანდი
curtsey	რევერანსი
audit	რევიზია
revisionism	რევიზიონიზმი
revisionist	რევიზიონისტი
auditor	რევიზორი
rheumatism	რევმატიზმი
revolver	რევოლვერი
mignonette	რეზედა
reservation	რეზერვაცია
spare	რეზერვი
reservist	რეზერვისტი
reservoir	რეზერვუარი
digest	რეზიუმე
resonance	რეზონანსი
resonator	რეზონატორი
aftereffect	რეზულტატი
rhesus	რეზუსი
roadstead	რეიდი
rating	რეიტინგი
ad	რეკლამა
recommendation	რეკომენდაცია
refit	რემონტი
apostasy	რენეგატობა
renaissance	რენესანსი
greengage	რენკლოდი
rent	რენტა
X-ray	რენტგენი
rheostat	რეოსტატი
repatriate	რეპატრიანტი
repatriation	რეპატრიაცია
repertoire	რეპერტუარი
crammer	რეპეტიტორი
rehearsal	რეპეტიცია
cue	რეპლიკა
coverage	რეპორტაჟი
reporter	რეპორტიორი
repression	რეპრესია
loudspeaker	რეპროდუქტორი
replica	რეპროდუქცია
reputation	რეპუტაცია
regime	რეჟიმი
producer	რეჟისორი
rescript	რესკრიპტი
respirator	რესპირატორი
respondent	რესპონდენტი
renovator	რესტავრატორი
restoration	რესტავრაცია
flashback	რეტროსპექცია
referendum	რეფერენდუმი
reflex	რეფლექსი
reflector	რეფლექტორი
reform	რეფორმა
reformer	რეფორმატორი
refrain	რეფრენი
provost	რექტორი
recitative	რეჩიტატივი
prescription	რეცეპტი
recrudescence	რეციდივი
recidivism	რეციდივიზმი
recidivist	რეციდივისტი
basil	რეჰანი
octagon	რვაკუთხედი
octopus	რვაფეხა
copybook	რვეული
Riga	რიგა
rhyme	რითმა
Rick	რიკი
rebound	რიკოშეტი
prize-ring	რინგი
risk	რისკი
beat	რიტმი
eurhythmics	რიტმიკა
rhetoricians	რიტორები
rhetorician	რიტორი
rite	რიტუალი
reef	რიფი
rickshaw	რიქშა
Richard	რიჩარდი
Richmond	რიჩმონდი
hoop	რკალი
ferroconcrete	რკინაბეტონი
railroad	რკინიგზა
acorn	რკო
Robert	რობერტი
birch	როზგი
rosette	როზეტი
Rosemary	როზმარი
rosemary	როზმარინი
royalist	როიალისტი
rock and roll	როკენროლი
Roquefort	როკფორი
role	როლი
novel	რომანი
novelist	რომანისტი
romanticism	რომანტიზმი
romantics	რომანტიკა
lozenge	რომბი
Ronald	რონალდი
rondeau	რონდო
Rotterdam	როტერდამი
pelisse	როტონდა
rotor	როტორი
tub	როფი
Roger	როჯერი
runnel	რუ
Rubicon	რუბიკონი
rouble	რუბლი
rubric	რუბრიკა
rudiment	რუდიმენტი
Rudolf	რუდოლფი
Ruth	რუთი
map	რუკა
rumba	რუმბა
rupee	რუპია
speaking trumpet	რუპორი
Russian	რუსი
routine	რუტინა
roc	რუქი
cornea	რქოვანა
advice	რჩევა
hornbeam	რცხილა
commissaries	რწმუნებულები
abbey	სააბატო
agency	სააგენტო
workshop	საამქრო
pretext	საბაბი
tether	საბელი
gangway	საბიჯელა
sabot	საბო
sabotage	საბოტაჟი
overlay	საბურავი
council	საბჭო
saga	საგა
canticle	საგალობელი
treasure	საგანძური
bedlam	საგიჟეთი
mother-of-pearl	სადაფი
awl	სადგისი
station	სადგური
sadism	სადიზმი
dinner	სადილი
sadist	სადისტი
embassy	საელჩო
dubiousness	საეჭვოობა
bustard	სავათი
hairbrush	სავარცხელი
armchair	სავარძელი
groin	საზარდული
monstrosity	საზარლობა
distastefulness	საზიზღრობა
assembly	საზოგადოება
comprehensiveness	საზრიანობა
border	საზღვარი
mousetrap	სათაგური
outfall	სათავე
caption	სათაური
thimble	სათითე
bucket	სათლი
virtue	სათნოება
sacraments	საიდუმლოები
sureness	საიმედოობა
website	საიტი
hand-barrow	საკაცე
chimney	საკვამური
carpetbag	საკვოიაჟი
pendant	საკიდარი
clothes hanger	საკიდი
frankincense	საკმეველი
altar	საკურთხეველი
salad	სალათა
salamander	სალამანდრა
lamprey	სალამურა
storehouse	სალარო
pottage	სალაფავი
sage	სალბი
band-aid	სალბუნი
salon	სალონი
tyre	სალტე
sepulchre	სამარე
law	სამართალი
razor	სამართებელი
salt cellar	სამარილე
bangle	სამაჯური
samba	სამბა
trinity	სამება
ink bottle	სამელნე
dormer	სამერცხული
threesome	სამეული
armband	სამკლავური
samovar	სამოვარი
bliss	სამოთხე
apparel	სამოსი
belfry	სამრეკლო
service	სამსახური
Samuel	სამუელი
sandstorm	სამუმი
samurai	სამურაი
clergies	სამღვდელოება
clover	სამყურა
bauble	სამშვენისი
lumbermill	სამხერხაო
kinsfolk	სანათესაო
sanatoria	სანატორიუმი
entertainment	სანახაობა
entrenchment	სანგარი
sandal	სანდალი
niceness	სანდომიანობა
Sandra	სანდრა
flavouring	სანელებელი
orderly	სანიტარი
victual	სანოვაგე
victuals	სანოვაგი
Santiago	სანტიაგო
centime	სანტიმი
approbation	სანქცია
fetlock	საოლავი
marvel	საოცრება
powder-flask	საპირისწამლე
counterbalance	საპირწონე
Sara	სარა
arena	სარბიელი
boot	სარგებელი
helpfulness	სარგებლობა
cellar	სარდაფი
pilchard	სარდინი
cornelian	სარდიონი
laundry	სარეცხი
pale	სარი
sarcasm	სარკაზმი
looking-glass	სარკე
sarcophagus	სარკოფაგი
belt	სარტყელი
avail	სარფა
valve	სარქველი
counterclaim	სარჩელი
lining	სარჩული
religion	სარწმუნოება
abattoir	სასაკლაო
candlestick	სასანთლე
desirability	სასურველობა
dainties	სასუსნავი
fertilizer	სასუქი
scales	სასწორი
penalization	სასჯელი
satellite	სატელიტი
rock-'n-roll	როკნროლი
hussar	ჰუსარი
rocker	როკერი
rhomboid	რომბოიდი
sateen	სატინი
satire	სატირა
satyr	სატირი
satrap	სატრაპი
sweetheart	სატრფო
Saturn	სატურნი
bait	სატყუარა
tegument	საფარველი
pay	საფასური
temple	საფეთქელი
ashtray	საფერფლე
footboard	საფეხური
sapphire	საფირონი
danger	საფრთხე
bugaboo	საფრთხობელა
barm	საფუარი
foundation	საფუძველი
seesaw	საქანელა
tomtom	ტამტამი
fiancé	საქმრო
Saxon	საქსი
sax	საქსოფონი
dye	საღებავი
dog-collar	საყელური
objurgation	საყვედური
trumpet	საყვირი
deep-freeze	საყინულე
earring	საყურე
dreadfulness	საშინელება
eraser	საშლელი
vagina	საშო
bullshit	ყლეობა
plaint	საჩივარი
gift	საჩუქარი
riddle	საცერი
feeler	საცეცი
censer	საცეცხლური
base	საძირკველი
enterprise	საწარმო
depot	საწყობი
helm	საჭე
armor	საჭურველი
eunuch	საჭურისი
caliphate	სახალიფო
gospel	სახარება
saccharin	სახარინი
workshop	სახელოსნო
handle	სახელური
mutilation	სახიჩრობა
coulter	სახნისი
screwdriver	სახრახნისი
gallows	სახრჩობელა
publicity	საჯაროობა
duchy	საჰერცოგო
segment	სეგმენტი
segregation	სეგრეგაცია
sedan	სედანი
melancholy	სევდა
lugubriousness	სევდიანობა
season	სეზონი
seismograph	სეისმოგრაფი
seismologist	სეისმოლოგი
seismology	სეისმოლოგია
safe	სეიფი
secateurs	სეკატორი
terror	ტერორი
sequestration	სეკვესტრი
escritoire	სეკრეტერი
secretion	სეკრეცია
seal	სელაპი
selenium	სელენი
selector	სელექტორი
selection	სელექცია
semantics	სემანტიკა
semaphore	სემაფორი
semester	სემესტრი
seminar	სემინარი
seminarist	სემინარისტი
Semite	სემიტი
senate	სენატი
senator	სენატორი
sandwich	სენდვიჩი
senora	სენიორა
seignior	სენიორი
senorita	სენიორიტა
bombshell	სენსაცია
sensationalism	სენსუალიზმი
sensationalist	სენსუალისტი
maxim	სენტენცია
separatist	სეპარატისტი
separator	სეპარატორი
seraph	სერაფიმი
serenade	სერენადა
server	სერვერი
service	სერვისი
frock-coat	სერთუკი
serial	სერიალი
earnest	სერიოზულობა
sergeant	სერჟანტი
surfing	სერფინგი
session	სესია
Cecil	სესილი
loan	სესხი
setter	სეტერი
sepsis	სეფსისი
sexuality	სექსუალობა
sect	სექტა
nonconformist	სექტანტი
sectarianism	სექტანტობა
sector	სექტორი
section	სექცია
namesake	სეხნია
griffon	სვავი
swastika	სვასტიკა
slipon	სვიტერი
facility	სიადვილე
Siam	სიამი
wantonness	სიანცე
walk	სიარული
obviousness	სიაშკარავე
innovation	სიახლე
affinity	სიახლოვე
sharpness	სიბასრე
senility	სიბერე
diligence	სიბეჯითე
sibyl	სიბილა
foulness	სიბინძურე
bluntness	სიბლაგვე
dark	სიბნელე
malice	სიბოროტე
anger	სიბრაზე
sorrow	სიბრალული
blindness	სიბრმავე
flat	სიბრტყე
sapience	სიბრძნე
jejuneness	სიგამხდრე
breadth	სიგანე
cheroot	სიგარა
cigarette	სიგარეტი
craziness	სიგიჟე
honk	სიგნალი
cool	სიგრილე
length	სიგრძე
lowness	სიდაბლე
putridity	სიდამპლე
burn	სიდამწვრე
greatness	სიდიადე
staidness	სიდინჯე
cider	სიდრი
perfidiousness	სივერაგე
narrowness	სივიწროვე
area	სივრცე
spaciousness	სივრცელე
indolence	სიზარმაცე
accuracy	სიზუსტე
audacity	სითამამე
whiteness	სითეთრე
liquid	სითხე
cheapness	სიიაფე
retentiveness	სიკარგე
brilliance	სიკაშკაშე
kindness	სიკეთე
sycamore	სიკომორო
lameness	სიკოჭლე
daintiness	სიკოხტავე
beauty	სილამაზე
firmness	სიმაგრე
bravery	სიმამაცე
agility	სიმარდე
truth	სიმართლე
adroitness	სიმარჯვე
altitude	სიმაღლე
abnormality	სიმახინჯე
symbiosis	სიმბიოზი
symbolization	სიმბოლიზაცია
symbolism	სიმბოლიზმი
badge	სიმბოლო
abjection	სიმდაბლე
means	სიმდიდრე
symmetry	სიმეტრია
austerity	სიმკაცრე
sharpness	სიმკვეთრე
nimbleness	სიმკვირცხლე
dimness	სიმკრთალე
salinity	სიმლაშე
short	სიმოკლე
liking	სიმპათია
symposium	სიმპოზიუმი
symptom	სიმპტომი
acidity	სიმჟავე
roundness	სიმრგვალე
crookedness	სიმრუდე
swelling	სიმსივნე
lightness	სიმსუბუქე
corpulence	სიმსუქნე
assuredness	სიმტკიცე
malingerer	სიმულანტი
simulation	სიმულაცია
dumbness	სიმუნჯე
symphony	სიმფონია
steadfastness	სიმყარე
fragility	სიმყიფე
stink	სიმყრალე
amenities	სიმშვენიერე
peacefulness	სიმშვიდე
aridity	სიმშრალე
minuteness	სიმცირე
acerbity	სიმძაფრე
heaviness	სიმძიმე
bitterness	სიმწარე
acuity	სიმწვავე
greenness	სიმწვანე
barrenness	სიმწირე
maturity	სიმწიფე
tightness	სიმჭიდროვე
cowardice	სიმხდალე
gayness	სიმხიარულე
torridity	სიმხურვალე
synagogue	სინაგოგა
fondness	სინაზე
light	სინათლე
actuality	სინამდვილე
regret	სინანული
delicacy	სინატიფე
syndicalism	სინდიკალიზმი
syndicalist	სინდიკალისტი
syndicate	სინდიკატი
syndrome	სინდრომი
slowness	სინელე
synthesis	სინთეზი
signora	სინიორა
signor	სინიორი
synod	სინოდი
synonym	სინონიმი
syntax	სინტაქსი
sine	სინუსი
synchrony	სინქრონია
test tube	სინჯარა
alloy	სინჯი
breeze	სიო
Zionism	სიონიზმი
Zionist	სიონისტი
Siracusa	სირაკუზა
ostrich	სირაქლემა
lenience	სირბილე
running	სირბილი
hooter	სირენა
complication	სირთულე
syrup	სიროფი
lichen	სირსველი
shame	სირცხვილი
artlessness	სისადავე
fullness	სისავსე
atrocity	სისასტიკე
meanness	სისაძაგლე
plaintiveness	სისაწყლე
completeness	სისრულე
silliness	სისულელე
faintness	სისუსტე
clearness	სისუფთავე
thickness	სისქე
correctness	სისწორე
celerity	სისწრაფე
bloodbath	სისხლისღვრა
haemorrhage	სისხლჩაქცევა
blood vessel	სისხლძარღვი
lusciousness	სიტკბო
awkwardness	სიტლანქე
situation	სიტუაცია
glossary	სიტყვარი
overlord	სიუზერენი
subject	სიუჟეტი
strangeness	სიუცხოვე
harshness	სიუხეშე
abundance	სიუხვე
amplitude	სიფართოვე
cleanliness	სიფაქიზე
luridness	სიფერმკრთალე
pox	სიფილისი
pettishness	სიფიცხე
care	სიფრთხილე
friability	სიფხვიერე
alert	სიფხიზლე
widowhood	სიქვრივე
bareness	სიღარიბე
beggary	სიღატაკე
deep	სიღრმე
spuriousness	სიყალბე
jaundice	სიყვითლე
deafness	სიყრუე
blackness	სიშავე
bareness	სიშიშვლე
remoteness	სიშორე
obtuseness	სიჩლუნგე
calm	სიჩუმე
haste	სიჩქარე
emptiness	სიცარიელე
mischievousness	სიცელქე
coldness	სიცივე
bluff	სიცრუე
distinctiveness	სიცხადე
spiciness	სიცხარე
heat	სიცხე
alacrity	სიცხოველე
forcefulness	სიძლიერე
difficulty	სიძნელე
miserliness	სიძუნწე
thinness	სიწვრილე
redness	სიწითლე
holiness	სიწმინდე
outspokenness	სიწრფელე
calmness	სიწყნარე
boyhood	სიჭაბუკე
overplus	სიჭარბე
buoyancy	სიხალისე
avarice	სიხარბე
joy	სიხარული
angularity	სიხისტე
density	სიხშირე
good health	სიჯანსაღე
contrariness	სიჯიუტე
beehive	სკა
scalpel	სკალპელი
scalp	სკალპი
scandal	სკანდალი
scanner	სკანერი
diving suit	სკაფანდრი
sceptic	სკეპტიკოსი
scepticism	სკეპტიციზმი
scherzo	სკერცო
square	სკვერი
bin	სკივრი
turpentine	სკიპიდარი
sceptre	სკიპტრა
sclerosis	სკლეროზი
school	სკოლა
statuary	სკულპტურა
bonito	სკუმბრია
slalom	სლალომი
slang	სლენგი
Slovenian	სლოვენი
audibility	სმენადობა
dinner jacket	სმოკინგი
snob	სნობი
snobbery	სნობიზმი
quid	სოვერენი
soy	სოიო
solarium	სოლარიუმი
chock	სოლი
solidarity	სოლიდარობა
soloist	სოლისტი
